activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,inchikey,np_score,short_inchikey,wikidata_id
,CHEMBL850730,CC/N=C(/N)NCCCC(N)C(=O)O,,CHEMBL1130243,J Med Chem,CHEMBL333229,=,=,Selectivity ratio,,0.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity ratio,,0.4,CC/N=C(/N)NCCCC(N)C(=O)O,ACYCISZIFHPQCU-UHFFFAOYSA-N,0.4850910102063429,ACYCISZIFHPQCU,no_wikidata_match
,CHEMBL834177,CC(N)C(=O)OCC1CNc2nc(N)nc(O)c2N1,,CHEMBL1140327,J Med Chem,CHEMBL359988,>,>,Selectivity,,4.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,4.3,CC(N)C(=O)OCC1CNc2nc(N)nc(O)c2N1,AECPLDIAUVDACN-UHFFFAOYSA-N,0.4647466489363897,AECPLDIAUVDACN,no_wikidata_match
,CHEMBL831308,NC1=N[C@H]2CCCC[C@@H]2CC1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL193007,=,=,Selectivity,,1.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,1.0,NC1=N[C@H]2CCCC[C@@H]2CC1,AEIXJVBMYJIICX-SFYZADRCSA-N,0.48856354481962716,AEIXJVBMYJIICX,no_wikidata_match
,CHEMBL831308,NC1=N[C@H]2CCCC[C@H]2CC1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL364230,=,=,Selectivity,,1.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,1.3,NC1=N[C@H]2CCCC[C@H]2CC1,AEIXJVBMYJIICX-YUMQZZPRSA-N,0.48856354481962716,AEIXJVBMYJIICX,no_wikidata_match
,CHEMBL840777,Br.Br.CC(=N)Nc1ccc(CN2CCc3ccccc3C2)cc1,,CHEMBL1131040,J Med Chem,CHEMBL542910,>,>,Selectivity,,4.5,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,4.5,Br.Br.CC(=N)Nc1ccc(CN2CCc3ccccc3C2)cc1,AGJLZGJGQVXFDE-UHFFFAOYSA-N,-0.9471499583969956,AGJLZGJGQVXFDE,no_wikidata_match
,CHEMBL5046509,COC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,,CHEMBL5046219,J Med Chem,CHEMBL5082466,=,=,Ratio IC50,,31.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,,31.0,COC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,AGUBOQWDONYLFR-MRZGDXHCSA-N,-0.39895280469954586,AGUBOQWDONYLFR,no_wikidata_match
,CHEMBL851343,NC1=Nc2ccc(C(F)(F)F)cc2[C@H]2CCC[C@@H]12,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL313001,=,=,Ratio,,56.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,56.0,NC1=Nc2ccc(C(F)(F)F)cc2[C@H]2CCC[C@@H]12,AINOZXUWKRFZDV-DTWKUNHWSA-N,-0.4394641946377167,AINOZXUWKRFZDV,no_wikidata_match
,CHEMBL851343,NC1=Nc2c(Cl)cc(Cl)cc2[C@H]2CCC[C@@H]12,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL87968,=,=,Ratio,,7.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,7.0,NC1=Nc2c(Cl)cc(Cl)cc2[C@H]2CCC[C@@H]12,AMDNXZDCGJLPCP-JGVFFNPUSA-N,-0.37841105226280625,AMDNXZDCGJLPCP,no_wikidata_match
,CHEMBL851343,COc1ccc2c(c1)[C@H]1CCC[C@H]1C(N)=N2,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL85613,=,=,Ratio,,20.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,20.0,COc1ccc2c(c1)[C@H]1CCC[C@H]1C(N)=N2,AMRJLVLSJYMBDX-VHSXEESVSA-N,0.11170428855808125,AMRJLVLSJYMBDX,no_wikidata_match
,CHEMBL850730,CCC/N=C(/N)NCCCC(N)C(=O)O,,CHEMBL1130243,J Med Chem,CHEMBL126713,=,=,Selectivity ratio,,3158.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity ratio,,3158.0,CCC/N=C(/N)NCCCC(N)C(=O)O,AOMXURITGZJPKB-UHFFFAOYSA-N,0.5904771641063201,AOMXURITGZJPKB,http://www.wikidata.org/entity/Q6951398
,CHEMBL832387,CCC1N=C(N)CC1C,,CHEMBL1137191,Bioorg Med Chem Lett,CHEMBL185024,=,=,Ratio,uM,4.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,4.0,CCC1N=C(N)CC1C,APKCAWUHKKJFRX-UHFFFAOYSA-N,0.5470039793117333,APKCAWUHKKJFRX,no_wikidata_match
,CHEMBL840777,Br.Br.CNCc1ccc(NC(C)=N)cc1,,CHEMBL1131040,J Med Chem,CHEMBL539793,=,=,Selectivity,,44.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,44.0,Br.Br.CNCc1ccc(NC(C)=N)cc1,ARVXEXLSTYBDRT-UHFFFAOYSA-N,-0.22710880241659334,ARVXEXLSTYBDRT,no_wikidata_match
,CHEMBL831308,CC1CC(N)=Nc2ccccc21,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL192033,=,=,Selectivity,,0.25,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,0.25,CC1CC(N)=Nc2ccccc21,AXHHNWVDJRCUIZ-UHFFFAOYSA-N,0.29840468584286667,AXHHNWVDJRCUIZ,no_wikidata_match
,CHEMBL834177,[N-]=[N+]=C(c1ccc(C(=O)OCc2cnc3nc(N)nc(O)c3n2)cc1)C(F)(F)F,,CHEMBL1140327,J Med Chem,CHEMBL364546,=,=,Selectivity,,11.8,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,11.8,[N-]=[N+]=C(c1ccc(C(=O)OCc2cnc3nc(N)nc(O)c3n2)cc1)C(F)(F)F,AYPJJECBXSRFII-UHFFFAOYSA-N,-0.47377412894165505,AYPJJECBXSRFII,no_wikidata_match
,CHEMBL848735,Cc1cc(N)nc(CCCc2ccccc2)c1,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL61139,=,=,Selectivity,,1.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,1.4,Cc1cc(N)nc(CCCc2ccccc2)c1,AYSDOKDTTQGSIU-UHFFFAOYSA-N,-0.3290035502442471,AYSDOKDTTQGSIU,no_wikidata_match
,CHEMBL848737,Cc1cc(N)nc(CCCc2ccccc2)c1,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL61139,=,=,Selectivity,,0.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,0.3,Cc1cc(N)nc(CCCc2ccccc2)c1,AYSDOKDTTQGSIU-UHFFFAOYSA-N,-0.3290035502442471,AYSDOKDTTQGSIU,no_wikidata_match
