activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,inchikey,np_score,short_inchikey,wikidata_id
,CHEMBL700506,CN1CCN(CCOc2ccc(-c3cccc(N)n3)c3c2CCC3)CC1,,CHEMBL1149107,J Med Chem,CHEMBL290875,=,=,IC50,nM,2200.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,2200.0,CN1CCN(CCOc2ccc(-c3cccc(N)n3)c3c2CCC3)CC1,AARJQDPYTYPQGF-UHFFFAOYSA-N,-0.6685126714168234,AARJQDPYTYPQGF,no_wikidata_match
,CHEMBL1806042,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2ccc(F)c(F)c2[nH]1,,CHEMBL1800057,J Med Chem,CHEMBL1801059,=,=,EC50,nM,120.0,CHEMBL4481,"Nitric oxide synthase, inducible",EC50,uM,0.12,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2ccc(F)c(F)c2[nH]1,ACDZDYRBTXIKDM-UHFFFAOYSA-N,-0.9781529115441795,ACDZDYRBTXIKDM,no_wikidata_match
,CHEMBL696861,N=C(N)NCCN1CCCCCCC1,,CHEMBL1133943,Bioorg Med Chem Lett,CHEMBL765,<,<,Activity,uM,0.1,CHEMBL4481,"Nitric oxide synthase, inducible",Activity,uM,0.1,N=C(N)NCCN1CCCCCCC1,ACGDKVXYNVEAGU-UHFFFAOYSA-N,-0.8789664644888998,ACGDKVXYNVEAGU,http://www.wikidata.org/entity/Q420673
,CHEMBL700505,CC1=CC(N)=N[C@@H]2CCC[C@H]12,,CHEMBL1136028,Bioorg Med Chem Lett,CHEMBL75428,=,=,IC50,nM,170.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,0.17,CC1=CC(N)=N[C@@H]2CCC[C@H]12,ACMNCCHOSFLUPZ-HTQZYQBOSA-N,0.849613409639209,ACMNCCHOSFLUPZ,no_wikidata_match
,CHEMBL829930,CC(N)C(=O)OCC1CNc2nc(N)nc(O)c2N1,Outside typical range,CHEMBL1140327,J Med Chem,CHEMBL359988,>,>,IC50,nM,500000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,500.0,CC(N)C(=O)OCC1CNc2nc(N)nc(O)c2N1,AECPLDIAUVDACN-UHFFFAOYSA-N,0.4647466489363897,AECPLDIAUVDACN,no_wikidata_match
,CHEMBL877003,NC1=N[C@H]2CCCC[C@@H]2CC1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL193007,=,=,IC50,nM,528.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,528.0,NC1=N[C@H]2CCCC[C@@H]2CC1,AEIXJVBMYJIICX-SFYZADRCSA-N,0.48856354481962716,AEIXJVBMYJIICX,no_wikidata_match
,CHEMBL877003,NC1=N[C@H]2CCCC[C@H]2CC1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL364230,=,=,IC50,nM,186.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,186.0,NC1=N[C@H]2CCCC[C@H]2CC1,AEIXJVBMYJIICX-YUMQZZPRSA-N,0.48856354481962716,AEIXJVBMYJIICX,no_wikidata_match
,CHEMBL1786326,N=C(N)C1CNC1,,CHEMBL1781991,Bioorg Med Chem Lett,CHEMBL1783096,=,=,IC50,nM,14000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,14.0,N=C(N)C1CNC1,AEXLMEHPCRNKTC-UHFFFAOYSA-N,0.3152091892406429,AEXLMEHPCRNKTC,no_wikidata_match
,CHEMBL702708,Br.Br.CC(=N)Nc1ccc(CN2CCc3ccccc3C2)cc1,,CHEMBL1131040,J Med Chem,CHEMBL542910,>,>,Ki,nM,50000.0,CHEMBL4481,"Nitric oxide synthase, inducible",Ki,uM,50.0,Br.Br.CC(=N)Nc1ccc(CN2CCc3ccccc3C2)cc1,AGJLZGJGQVXFDE-UHFFFAOYSA-N,-0.9471499583969956,AGJLZGJGQVXFDE,no_wikidata_match
,CHEMBL5046506,COC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,,CHEMBL5046219,J Med Chem,CHEMBL5082466,=,=,IC50,nM,195.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,195.0,COC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,AGUBOQWDONYLFR-MRZGDXHCSA-N,-0.39895280469954586,AGUBOQWDONYLFR,no_wikidata_match
,CHEMBL873011,Cl.NC1=NC(Cc2ccccc2)CC1,,CHEMBL1131100,J Med Chem,CHEMBL540824,=,=,Inhibition,%,26.0,CHEMBL4481,"Nitric oxide synthase, inducible",Inhibition,%,26.0,Cl.NC1=NC(Cc2ccccc2)CC1,AIDGLAMVVCJSQJ-UHFFFAOYSA-N,0.24243018614972853,AIDGLAMVVCJSQJ,no_wikidata_match
