inchikey,activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,np_score,short_inchikey,wikidata_id
AARJQDPYTYPQGF-UHFFFAOYSA-N,,CHEMBL700506,CN1CCN(CCOc2ccc(-c3cccc(N)n3)c3c2CCC3)CC1,,CHEMBL1149107,J Med Chem,CHEMBL290875,=,=,IC50,nM,2200.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,2200.0,CN1CCN(CCOc2ccc(-c3cccc(N)n3)c3c2CCC3)CC1,-0.6685126714168234,AARJQDPYTYPQGF,no_wikidata_match
ABERJDKOXKCQKV-UHFFFAOYSA-N,,CHEMBL4052047,CNCc1cc(Cl)cc(OCc2ccc3ccc(N)nc3c2)c1.Cl.Cl,,CHEMBL4049447,J Med Chem,CHEMBL4097845,=,=,Ki,nM,16800.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,16.8,CNCc1cc(Cl)cc(OCc2ccc3ccc(N)nc3c2)c1.Cl.Cl,-0.6451439647002839,ABERJDKOXKCQKV,no_wikidata_match
ABVCLQYTPSSPPB-UHFFFAOYSA-N,,CHEMBL3047051,Nc1cccc(N2C(=O)c3cccc4cccc(c34)C2=O)c1,,CHEMBL3045031,Med Chem Res,CHEMBL2237496,=,=,Inhibition,%,81.4,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,81.4,Nc1cccc(N2C(=O)c3cccc4cccc(c34)C2=O)c1,-0.8431034321438274,ABVCLQYTPSSPPB,no_wikidata_match
ACDZDYRBTXIKDM-UHFFFAOYSA-N,,CHEMBL1806042,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2ccc(F)c(F)c2[nH]1,,CHEMBL1800057,J Med Chem,CHEMBL1801059,=,=,EC50,nM,120.0,CHEMBL4481,"Nitric oxide synthase, inducible",EC50,uM,0.12,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2ccc(F)c(F)c2[nH]1,-0.9781529115441796,ACDZDYRBTXIKDM,no_wikidata_match
ACGDKVXYNVEAGU-UHFFFAOYSA-N,,CHEMBL696861,N=C(N)NCCN1CCCCCCC1,,CHEMBL1133943,Bioorg Med Chem Lett,CHEMBL765,<,<,Activity,uM,0.1,CHEMBL4481,"Nitric oxide synthase, inducible",Activity,uM,0.1,N=C(N)NCCN1CCCCCCC1,-0.8789664644888998,ACGDKVXYNVEAGU,http://www.wikidata.org/entity/Q420673
ACGNZKMCLAEAHW-MOGJOVFKSA-N,,CHEMBL921238,Cl.N=C(NCCCCCC(=O)N[C@@H]1CN[C@H](C(=O)NCc2ccccc2)C1)N[N+](=O)[O-],,CHEMBL1143872,Bioorg Med Chem,CHEMBL557950,=,=,IC50,nM,43500.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,43.5,Cl.N=C(NCCCCCC(=O)N[C@@H]1CN[C@H](C(=O)NCc2ccccc2)C1)N[N+](=O)[O-],-0.5633507740151289,ACGNZKMCLAEAHW,no_wikidata_match
ACHJMDNIBGAZJH-UHFFFAOYSA-N,359435.0,CHEMBL3130586,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,,CHEMBL3124811,J Med Chem,CHEMBL3125050,=,=,Ki,nM,66400.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki(app),uM,66.4,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,-0.9274396085348966,ACHJMDNIBGAZJH,http://www.wikidata.org/entity/Q27460987
ACMNCCHOSFLUPZ-HTQZYQBOSA-N,,CHEMBL847958,CC1=CC(N)=N[C@@H]2CCC[C@H]12,,CHEMBL1136028,Bioorg Med Chem Lett,CHEMBL75428,=,=,Ratio,nM,3.0,CHEMBL2111350,Nitric oxide synthase (inducible and endothelial),Ratio,uM,3.0,CC1=CC(N)=N[C@@H]2CCC[C@H]12,0.849613409639209,ACMNCCHOSFLUPZ,no_wikidata_match
ACYCISZIFHPQCU-UHFFFAOYSA-N,,CHEMBL850730,CC/N=C(/N)NCCCC(N)C(=O)O,,CHEMBL1130243,J Med Chem,CHEMBL333229,=,=,Selectivity ratio,nM,0.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity ratio,nM,0.4,CC/N=C(/N)NCCCC(N)C(=O)O,0.4850910102063429,ACYCISZIFHPQCU,no_wikidata_match
ADIBHHLBVBRJPW-UHFFFAOYSA-N,,CHEMBL1762844,CCOC(=O)c1c(F)c(F)c2[nH]nc(O)c2c1F,,CHEMBL1759883,Eur J Med Chem,CHEMBL1762748,=,=,Inhibition,%,51.8,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,51.8,CCOC(=O)c1c(F)c(F)c2[nH]nc(O)c2c1F,-0.8404208410544,ADIBHHLBVBRJPW,no_wikidata_match
AECPLDIAUVDACN-UHFFFAOYSA-N,,CHEMBL834177,CC(N)C(=O)OCC1CNc2nc(N)nc(O)c2N1,Outside typical range,CHEMBL1140327,J Med Chem,CHEMBL359988,>,>,Selectivity,nM,4.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,4.3,CC(N)C(=O)OCC1CNc2nc(N)nc(O)c2N1,0.4647466489363897,AECPLDIAUVDACN,no_wikidata_match
AEIXJVBMYJIICX-SFYZADRCSA-N,,CHEMBL831308,NC1=N[C@H]2CCCC[C@@H]2CC1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL193007,=,=,Selectivity,nM,1.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,nM,1.0,NC1=N[C@H]2CCCC[C@@H]2CC1,0.4885635448196271,AEIXJVBMYJIICX,no_wikidata_match
AEIXJVBMYJIICX-YUMQZZPRSA-N,,CHEMBL831308,NC1=N[C@H]2CCCC[C@H]2CC1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL364230,=,=,Selectivity,nM,1.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,nM,1.3,NC1=N[C@H]2CCCC[C@H]2CC1,0.4885635448196271,AEIXJVBMYJIICX,no_wikidata_match
AEXLMEHPCRNKTC-UHFFFAOYSA-N,,CHEMBL1786326,N=C(N)C1CNC1,,CHEMBL1781991,Bioorg Med Chem Lett,CHEMBL1783096,=,=,IC50,nM,14000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,14.0,N=C(N)C1CNC1,0.3152091892406429,AEXLMEHPCRNKTC,no_wikidata_match
AGJLZGJGQVXFDE-UHFFFAOYSA-N,,CHEMBL840777,Br.Br.CC(=N)Nc1ccc(CN2CCc3ccccc3C2)cc1,,CHEMBL1131040,J Med Chem,CHEMBL542910,>,>,Selectivity,nM,4.5,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,4.5,Br.Br.CC(=N)Nc1ccc(CN2CCc3ccccc3C2)cc1,-0.9471499583969956,AGJLZGJGQVXFDE,no_wikidata_match
AGUBOQWDONYLFR-MRZGDXHCSA-N,,CHEMBL5046509,COC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,,CHEMBL5046219,J Med Chem,CHEMBL5082466,=,=,Ratio IC50,nM,31.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,nM,31.0,COC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,-0.3989528046995458,AGUBOQWDONYLFR,no_wikidata_match
AGWWSGQCTLAMKS-UHFFFAOYSA-N,,CHEMBL4346017,CCOc1ccc(-c2ccc3c(C)cc(N)nc3c2)cc1CN,,CHEMBL4342518,J Med Chem,CHEMBL4464663,=,=,Ki,nM,24200.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,24.2,CCOc1ccc(-c2ccc3c(C)cc(N)nc3c2)cc1CN,-0.4600835884085433,AGWWSGQCTLAMKS,no_wikidata_match
