organism_taxonomy_06family,organism_taxonomy_08genus,organism_taxonomy_09species,compound_count
Apocynaceae,Catharanthus,Catharanthus roseus,3
Apocynaceae,Plumeria,Plumeria rubra,1
Asteraceae,Ageratina,Ageratina ligustrina,1
Asteraceae,Ageratum,Ageratum conyzoides,1
Brassicaceae,Nasturtium,Nasturtium officinale,1
Celastraceae,Maytenus,Maytenus woodsonii,2
Combretaceae,Laguncularia,Laguncularia racemosa,1
Convolvulaceae,Camonea,Camonea umbellata,1
Convolvulaceae,Ipomoea,Ipomoea nil,1
Euphorbiaceae,Jatropha,Jatropha gossypiifolia,1
Fabaceae,Caesalpinia,Caesalpinia pulcherrima,1
Fabaceae,Canavalia,Canavalia rosea,1
Fabaceae,Gliricidia,Gliricidia sepium,3
Fabaceae,Guilandina,Guilandina bonduc,1
Fabaceae,Indigofera,Indigofera hirsuta,2
Lythraceae,Lawsonia,Lawsonia inermis,2
Malvaceae,Talipariti,Talipariti tiliaceum,2
Moraceae,Ficus,Ficus benjamina,1
Poaceae,Cymbopogon,Cymbopogon citratus,1
Polygonaceae,Persicaria,Persicaria pubescens,2
Pontederiaceae,Eichhornia,Eichhornia crassipes,1
Rhizophoraceae,Rhizophora,Rhizophora mangle,1
Rubiaceae,Alibertia,Alibertia edulis,1
Rubiaceae,Morinda,Morinda citrifolia,3
Verbenaceae,Lantana,Lantana camara,2
